Model,cosine_similarity,euclidean_distance,manhattan_distance,minkowski_distance,correlation_coefficient,TOPSIS_Score
sentence-transformers/paraphrase-MiniLM-L6-v2,0.0,0.4092309,0.2810175,0.4258905809130477,0.0,1.7876089020921218
microsoft/mpnet-base,0.990447,0.0,0.0,0.0,0.9902750306187484,1.7321044527191456
squeezebert/squeezebert-uncased,0.8671684,0.019993791,0.022505505,0.014153512215685596,0.8671257994796274,1.7097077920714128
roberta-base,1.0,0.055841796,0.05486184,0.05149468947213431,1.0,1.6384087340595193
allenai/longformer-base-4096,0.9994491,0.06777981,0.06621932,0.06308523449256034,0.9994475813984984,1.6182678160516355
vinai/phobert-base,0.9304313,0.0825578,0.083695956,0.0742679942719228,0.9279922687918608,1.596345188172338
google/electra-small-discriminator,0.9062845,0.14667538,0.055560466,0.1852846133945629,0.9045987276651818,1.5171598797527457
distilbert-base-uncased,0.935426,0.17142645,0.18669899,0.14968207761347813,0.9353076379083413,1.4420083718081171
bert-base-uncased,0.8961368,0.25622672,0.26916122,0.23146252146848237,0.8959329403099927,1.3036837727260253
deepset/sentence_bert,0.6237736,0.8818205,0.92236984,0.8097873044027607,0.6231601537243195,0.5828621609250162
facebook/bart-base,0.890764,1.0,1.0,1.0,0.890420671692709,0.1547259943200037
